viz-id ra dec
228 228.3214576 42.4609896
803 235.8152838 43.5869811
931 187.668276 0.7457892
1062 180.8414824 1.5618101
1072 210.4747543 -1.3429271
1585 151.5985591 -1.58277
1670 354.3850441 -0.4595662
1699 181.9241751 1.5086717
1737 137.5814099 2.2632738
1853 128.8510928 -1.6273562
1864 219.3989654 0.2895192
1984 189.9153345 0.8239197
2030 209.760146 0.1800245
2291 220.1322156 0.6530128
2510 36.183798 -1.7436156
2833 224.936489 43.261311
3127 338.0626604 -0.0638832
3159 189.5584041 0.4767641
3355 209.7906064 0.268712
3440 248.8126444 44.3344614
3462 153.3614238 -0.8071068
3797 228.2117469 41.9749241
4032 350.2807156 1.4018211
4199 218.2059264 0.8222728
4221 30.0980674 -1.4120926
4363 176.3969337 -1.8543287
4495 136.012838 3.6234204
4782 180.6093554 -0.3465878
4798 187.7942534 0.7947892
4825 334.1251639 3.3505597
5013 234.1374015 43.4097721
5051 150.4133053 -0.1191215
5235 185.390092 -0.8617538
5282 208.3927713 0.0437916
5420 30.7562544 -2.9322754
5436 211.4672309 -0.322666
5591 151.9470101 0.2012185
5787 35.3610989 -5.4335693
5805 30.4608346 -1.3870198
5978 134.3962502 -0.9673803
6020 182.6151234 0.3754714
6180 350.2869246 0.4609444
6239 137.2415627 0.5460031
6286 347.8881121 -0.2269651
6596 332.9626476 2.4711949
6876 18.8769156 -0.487297
6905 349.8666593 1.0649432
6925 136.0306226 3.7067114
7016 238.5183391 42.1270214
7512 233.9267947 43.4576741
8460 249.332317 44.1656748
8636 176.4964432 -1.7868771
8762 356.8819606 -0.6206143
8826 336.5177307 0.6978379
8919 207.8073611 0.3711265
8930 153.7642894 -1.563963
9176 151.3816002 2.6603597
9186 131.7218207 2.4097808
9188 181.032669 1.3215952
9401 177.4737381 -1.3107438
9481 30.5536949 -2.9121963
9519 237.2871973 42.0144675
9916 2.6401607 -0.0657806
10666 151.6123305 -1.5607194
10837 129.0340332 -1.8907768
10939 217.5286671 1.0279449
11065 237.7386258 42.6750964
11146 232.3751403 42.8629011
11287 250.3614156 42.6152683
11607 359.048809 -0.2997508
11660 150.1335405 0.4913382
11959 128.821372 -1.6477051
11962 246.978568 42.7308564
12015 213.4535644 43.9899182
12208 2.0386046 -0.8796212
12378 153.2904508 -0.7734453
12516 179.5301202 -2.3821372
12599 3.0335566 -0.0352569
12676 151.3972665 -1.6576345
12814 355.085259 -0.1464083
12947 37.2788956 -5.5491473
13070 20.9089495 -0.5119868
13189 331.7162045 7.0612253
13292 128.8323203 -1.6135132
13310 330.8042144 2.6483951
13652 133.2524177 2.1533242
14037 247.0151477 42.7283857
14159 39.2677744 -5.2657073
14216 28.9578801 -2.569023
14606 37.6880329 -4.6131428
14699 189.9333457 0.395946
14961 37.6178024 -4.6015542
14970 235.8325544 44.3945583
15121 139.939191 0.796652
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
16408 225.3083901 43.2690753
16617 131.687802 2.589298
17027 189.8011 0.3851975
17141 150.055139 0.5430206
17353 189.8480657 0.5123339
17354 338.5564715 3.6202481
17554 218.8313076 -0.0331037
17947 350.4126371 1.4732959
18077 128.8247303 -1.9937914
18486 153.3340133 -0.7578682
18986 340.5654308 -1.4865748
19021 358.7961708 -1.4294426
19336 345.2538247 1.6960582
19506 149.338715 3.6322522
19656 220.7369959 0.2805017
19784 148.9741011 -1.9189643
19870 30.1162754 -1.5072888
19887 358.9736276 0.4714337
19965 131.9197024 2.5007516
20009 349.4401578 -1.2776546
20181 341.8600932 0.36369
20316 249.1004272 44.1054426
20340 181.2700692 1.7483239
20492 34.8603795 -6.9239291
20624 211.2762466 -0.5298481
20659 28.7171963 -2.578257
20680 330.8205791 2.4860694
20759 176.6397938 -1.8824642
20868 148.5590577 2.2317469
20914 35.7669744 -1.7992341
21112 17.2550972 2.5033857
21131 32.9720927 -2.0534305
21232 150.0273252 0.7044795
21244 18.7538758 1.8719104
21295 35.3433227 -5.4232532
21384 187.7092725 0.4996946
21443 181.4398512 1.4283858
21525 37.8832259 -2.9755214
21531 245.7145629 43.7262065
21534 350.35837 0.4649426
21705 211.8246848 -1.5034928
22085 29.6788089 -1.4870973
22086 150.1816206 -1.6186495
22098 343.3575396 1.4135878
22104 29.6819803 -1.3381219
22261 128.7726667 -1.7192981
22450 176.3488131 -1.9340071
22494 37.7373152 -4.5493254
22573 339.6821322 3.298443
22727 250.2900354 42.6818402
23004 135.5864518 3.359657
23177 189.5910245 0.2761459
23248 148.7804352 0.6188632
23419 213.6096989 43.8771216
23470 218.932198 -0.1913054
23506 187.8791737 0.5539251
23552 249.7154972 42.2106738
23801 179.6335013 -1.8579121
23864 128.8573831 -1.7531346
24133 249.357888 44.3879264
24267 239.0218835 42.178019
24360 174.9110516 -0.8466616
24397 30.0203046 -1.371613
24653 152.8763302 0.0590588
24831 212.1164329 -1.7811742
24849 354.9096145 0.0223598
25205 220.6865128 1.3641857
25225 246.572909 43.9375486
25403 356.0084069 2.7986089
25767 358.3242362 0.4670801
25825 356.7936029 -0.6351144
25949 128.9947195 -1.9771523
26053 147.8630292 1.1721012
26209 213.4261644 1.8927767
26317 37.6714291 -4.7856195
27139 347.5482706 2.7355941
27183 140.9389902 1.3075308
27319 243.000064 43.7052788
27784 359.8083842 1.8807654
27792 153.3046973 -0.76197
27799 217.7986521 1.2353161
27808 181.0660181 1.7787631
27881 148.2524232 1.0206578
28134 225.3210583 1.5922293
28438 217.842635 1.1611016
28592 182.5695583 -1.2716345
28914 213.7423694 -0.7531567
29110 33.0027866 -2.7654882
29123 132.9256924 3.0994927
29144 356.050831 0.5916174
29501 335.1944324 -1.1235166
29725 235.8781876 43.8751051
29808 16.8609663 -0.682905
29860 239.1857194 42.0526799
29873 176.2926993 -1.666017
30014 209.6914503 -2.2780976
30074 151.6314081 -1.2494974
30168 149.8795897 1.094594
30269 15.8729353 -0.6637848
30385 35.3325829 -5.5158019
30495 355.7875349 0.2758299
30841 334.1886004 2.3179218
30918 216.0985112 1.2476788
31008 18.4748841 2.1251334
31011 182.774386 0.9267303
31126 148.6481816 2.3461737
31282 212.3379584 -1.8829271
31355 37.1313649 -4.5186346
32056 140.2767173 0.9358166
32188 182.8155589 1.0632747
32208 359.0986382 -0.5229609
32236 225.3305292 1.6050968
32283 154.4599292 -0.4671961
32312 233.9158202 43.7164205
32492 18.2921937 -0.205878
32633 355.4179851 -1.3854725
32852 356.1110712 0.7803112
33007 246.9608114 42.6026543
33209 356.2150513 0.5347469
33327 336.7015595 3.5618856
33394 217.4791213 -0.1297751
33441 28.6944947 -2.7498458
33535 249.2165453 44.2534977
