viz-id ra dec
64 128.6746326 -1.9037648
228 228.3214576 42.4609896
407 3.1768662 -0.0281507
1072 210.4747543 -1.3429271
1670 354.3850441 -0.4595662
1699 181.9241751 1.5086717
1984 189.9153345 0.8239197
2291 220.1322156 0.6530128
2965 225.5325325 1.5155803
3159 189.5584041 0.4767641
3440 248.8126444 44.3344614
3462 153.3614238 -0.8071068
3805 151.1125408 1.8948408
3960 232.3375136 42.6510229
4032 350.2807156 1.4018211
4144 31.8970727 -4.0439644
4221 30.0980674 -1.4120926
4363 176.3969337 -1.8543287
4495 136.012838 3.6234204
4782 180.6093554 -0.3465878
4825 334.1251639 3.3505597
5013 234.1374015 43.4097721
5051 150.4133053 -0.1191215
5436 211.4672309 -0.322666
5787 35.3610989 -5.4335693
6239 137.2415627 0.5460031
6925 136.0306226 3.7067114
7016 238.5183391 42.1270214
8460 249.332317 44.1656748
8741 16.3612535 -0.957517
8919 207.8073611 0.3711265
8930 153.7642894 -1.563963
9176 151.3816002 2.6603597
9188 181.032669 1.3215952
9401 177.4737381 -1.3107438
9499 141.3946829 2.3420009
9577 31.3658208 -6.301836
10939 217.5286671 1.0279449
11065 237.7386258 42.6750964
11146 232.3751403 42.8629011
11607 359.048809 -0.2997508
11959 128.821372 -1.6477051
11962 246.978568 42.7308564
12250 250.6225154 42.2627804
12378 153.2904508 -0.7734453
12516 179.5301202 -2.3821372
12814 355.085259 -0.1464083
12947 37.2788956 -5.5491473
13070 20.9089495 -0.5119868
13189 331.7162045 7.0612253
13292 128.8323203 -1.6135132
13310 330.8042144 2.6483951
13652 133.2524177 2.1533242
14159 39.2677744 -5.2657073
14216 28.9578801 -2.569023
14681 18.949017 -0.7763651
14970 235.8325544 44.3945583
15121 139.939191 0.796652
15381 176.3688281 -1.7828649
15401 137.7379873 -1.6240627
16420 354.4571287 -0.5881174
16617 131.687802 2.589298
17353 189.8480657 0.5123339
17554 218.8313076 -0.0331037
17947 350.4126371 1.4732959
18480 129.0269876 -2.0057592
18486 153.3340133 -0.7578682
19656 220.7369959 0.2805017
19784 148.9741011 -1.9189643
19887 358.9736276 0.4714337
19965 131.9197024 2.5007516
20009 349.4401578 -1.2776546
20492 34.8603795 -6.9239291
20659 28.7171963 -2.578257
20680 330.8205791 2.4860694
20759 176.6397938 -1.8824642
20914 35.7669744 -1.7992341
21112 17.2550972 2.5033857
21131 32.9720927 -2.0534305
21244 18.7538758 1.8719104
21295 35.3433227 -5.4232532
21384 187.7092725 0.4996946
21443 181.4398512 1.4283858
21525 37.8832259 -2.9755214
21531 245.7145629 43.7262065
21534 350.35837 0.4649426
21705 211.8246848 -1.5034928
22085 29.6788089 -1.4870973
22098 343.3575396 1.4135878
22450 176.3488131 -1.9340071
22727 250.2900354 42.6818402
23004 135.5864518 3.359657
23284 220.7241887 1.3680739
23511 330.7901171 2.6487016
23552 249.7154972 42.2106738
23592 233.0401749 44.4487607
24045 137.0045731 3.1866969
24267 239.0218835 42.178019
24653 152.8763302 0.0590588
24831 212.1164329 -1.7811742
25205 220.6865128 1.3641857
25657 34.4971174 -4.2758653
25767 358.3242362 0.4670801
25949 128.9947195 -1.9771523
26053 147.8630292 1.1721012
26209 213.4261644 1.8927767
27138 129.6172269 -2.0361118
27139 347.5482706 2.7355941
27183 140.9389902 1.3075308
27681 182.4983234 -0.4671837
27784 359.8083842 1.8807654
27792 153.3046973 -0.76197
27795 344.1060203 -1.2076007
27799 217.7986521 1.2353161
28438 217.842635 1.1611016
28914 213.7423694 -0.7531567
29110 33.0027866 -2.7654882
29808 16.8609663 -0.682905
29860 239.1857194 42.0526799
30014 209.6914503 -2.2780976
30168 149.8795897 1.094594
30623 29.6350621 -1.5861213
31008 18.4748841 2.1251334
31282 212.3379584 -1.8829271
31639 127.4878328 -1.2739235
32056 140.2767173 0.9358166
32236 225.3305292 1.6050968
32283 154.4599292 -0.4671961
32312 233.9158202 43.7164205
32492 18.2921937 -0.205878
32633 355.4179851 -1.3854725
32852 356.1110712 0.7803112
33327 336.7015595 3.5618856
33394 217.4791213 -0.1297751
34114 349.2471387 2.7597047
34251 352.624557 0.1244857
34311 131.7845692 2.5257379
34340 186.4216006 -2.3956632
34727 151.9459388 0.286233
35129 176.7483324 -1.8969284
35522 130.0504642 0.0665914
36137 37.0601244 -5.7172875
36359 209.0993934 -0.1308648
37163 330.6299425 2.7249314
38086 211.8484571 -1.5866385
38470 32.830342 -2.2438775
39020 345.6394347 1.7372005
39452 214.8901103 44.1697529
